Date,Sport,Event,Time,Additional details,Location,Closest Metro,Start time
July 31,handball,preliminary round (6 matches) - men's,0900-2230,,stade pierre de coubertin,porte de vincennes (metro 1),09:00
July 31,rowing,"m lightweight double sculls, w lightweight…",0930-1310,finals and semifinals,vaires-sur-marne nautical stadium,vaires (transilien paris-est),09:30
July 31,table tennis,m/w singles round 2,1000-1300,,porte de versailles exhibition centre,porte de versailles (metro 12),10:00
July 31,judo,"w -70kg, m -90kg elimination rounds",1000-1400,,two locations – check official documentation,palais royal-musée du louvre (metro 1/7),10:00
July 31,equestrian,dressage grand prix qualifier,1000-1530,,château de versailles,versailles château - rive gauche (rer c),10:00
July 31,hockey,pool stage (4 matches) - women's,1000-2200,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),10:00
July 31,diving,synchro 10m platform final - women's,1100-1200,,stade aquatique,stade de france - saint-denis (rer d),11:00
July 31,swimming,"w 200m breast, m 200m back, w 200m fly heats",1100-1300,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),11:00
July 31,boxing,"w 60kg quarters, w 66kg, m 57kg, m 71kg round of 32 or round of 16",1100-1325,,roland-garros stadium,porte d'auteuil (metro 10),11:00
July 31,basketball,m/w group phase (2 matches),1100-1515,,pierre mauroy stadium,lille,11:00
July 31,archery,m/w ind. eliminations,1200-1555,,la defense arena (tentative),puteaux (metro 1),12:00
July 31,tennis,m/w singles,1200-1700,,roland-garros stadium,porte d'auteuil (metro 10),12:00
July 31,fencing,"sabre team through semis, placement matches - men's",1200-1730,,grand palais éphémère,"franklin d. roosevelt (metro 9), if champs-élysées - clemenceau is closed",12:00
July 31,sailing,"m/w windsurfing, skiff",1200-1900,,marseille marina,vieux-port - hôtel de ville (metro 1),12:00
July 31,bmx freestyle,m/w final,1310-1630,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),13:10
July 31,badminton,m/w singles group stage,1400-1730,,stade pierre de coubertin,porte de vincennes (metro 1),14:00
July 31,table tennis,m/w singles round 3,1500-1800,,porte de versailles exhibition centre,porte de versailles (metro 12),15:00
July 31,beach volleyball,m/w preliminary phase (3 matches),1500-1800,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),15:00
July 31,boxing,"w 60kg quarters, w 66kg, m 57kg, m 71kg round of 32 or round of 16",1530-1810,,roland-garros stadium,porte d'auteuil (metro 10),15:30
July 31,canoe slalom,"c1 semis, finals - women's",1530-1830,,vaires-sur-marne nautical stadium,vaires (transilien paris-est),15:30
July 31,judo,"w -70kg, m -90kg medal rounds",1600-1900,,two locations – check official documentation,palais royal-musée du louvre (metro 1/7),16:00
July 31,hockey,m/w pool stage (4 matches),1700-2230,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),17:00
July 31,football,group stage (6 matches) - women's,1700-2300,,multiple locations - check official documentation,,17:00
July 31,basketball,m/w group phase (1 match),1715-1900,,pierre mauroy stadium,lille,17:15
July 31,basketball 3x3,m/w pool round (4 matches),1730-1930,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),17:30
July 31,artistic gymnastics,individual all-around final - men's,1730-2015,,bercy arena,bercy (metro 6),17:30
July 31,archery,m/w ind. eliminations,1745-2025,,la defense arena (tentative),puteaux (metro 1),17:45
July 31,tennis,m/w singles,1900-2300​,,roland-garros stadium,porte d'auteuil (metro 10),19:00
July 31,fencing,sabre team medal finals - men's,1930-2140,,grand palais éphémère,"franklin d. roosevelt (metro 9), if champs-élysées - clemenceau is closed",19:30
July 31,badminton,"m/w singles group play stage, mixed doubles quarters",1930-2300,,stade pierre de coubertin,porte de vincennes (metro 1),19:30
July 31,boxing,"w 60kg quarters, w 66kg, m 57kg, m 71kg round of 32 or round of 16",2000-2225,,roland-garros stadium,porte d'auteuil (metro 10),20:00
July 31,table tennis,m/w singles round 3,2000-2300,,porte de versailles exhibition centre,porte de versailles (metro 12),20:00
July 31,beach volleyball,m/w preliminary phase (3 matches),2000-2300,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),20:00
July 31,swimming,"w 100m free, m 200m fly finals, w 200m fly…",2030-2230,finals and semifinals,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),20:30
July 31,basketball,m/w group phase (1 match),2100-2245,,pierre mauroy stadium,lille,21:00
July 31,basketball 3x3,m/w pool round (4 matches),2100-2300,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),21:00
July 31,surfing,reserve day,,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),:
August 1,canoe slalom,"canoe slalom: m k1 semis, finals",1530-1835,,vaires-sur-marne nautical stadium,vaires (transilien paris-est),15:30
August 1,rowing,various rowing events,0930-1240,semis and finals for various events,vaires-sur-marne nautical stadium,vaires (transilien paris-est),09:30
August 1,judo,"w -78kg, m -100kg elimination rounds",1000-1400,,two locations – check official documentation,palais royal-musée du louvre (metro 1/7),10:00
August 1,judo,"w -78kg, m -100kg medal rounds",1600-1900,,two locations – check official documentation,palais royal-musée du louvre (metro 1/7),16:00
August 1,hockey,pool stage (4 matches) - men's,1000-1500,2 sets of 2 matches each,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),10:00
August 1,hockey,pool stage (2 matches) - women's,1700-2200,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),17:00
August 1,badminton,"badminton: m singles round of 16, w doubles quarters",0830-1100,,stade pierre de coubertin,porte de vincennes (metro 1),08:30
August 1,badminton,"badminton: m doubles quarters, m singles round of 16",1300-1630,,stade pierre de coubertin,porte de vincennes (metro 1),13:00
August 1,badminton,"badminton: w singles round of 16, mixed doubles semis",1830-2200,,stade pierre de coubertin,porte de vincennes (metro 1),18:30
August 1,handball,preliminaries (6 matches) - women's,0900-2230,3 sets of 2 matches each,stade pierre de coubertin,porte de vincennes (metro 1),09:00
August 1,athletics,athletics: m 20km race walk final,0730-0905,,stade de france,stade de france - saint-denis (rer d),07:30
August 1,athletics,athletics: w 20km race walk final,0920-1105,,stade de france,stade de france - saint-denis (rer d),09:20
August 1,water polo,preliminary round (6 matches) - men's,1030-2230,3 sets of 2 matches each,stade aquatique,stade de france - saint-denis (rer d),10:30
August 1,bmx racing,bmx racing: m/w quarters and last-chance runs,2000-2220,,saint-quentin-en-yvelines bmx stadium,saint-quentin-en-yvelines (rer c),20:00
August 1,boxing,"boxing: w 50kg, w 75kg round of 32 or round of 16, w 54kg, m 63.5kg, m 92kg quarters",1100-1325,,roland-garros stadium,porte d'auteuil (metro 10),11:00
August 1,boxing,"boxing: w 50kg, w 75kg round of 32 or round of 16, w 54kg, m 63.5kg, m 92kg quarters",1530-1810,,roland-garros stadium,porte d'auteuil (metro 10),15:30
August 1,boxing,"boxing: w 50kg, w 75kg round of 32 or round of 16, w 54kg, m 63.5kg, m 92kg quarters",2000-2225,,roland-garros stadium,porte d'auteuil (metro 10),20:00
August 1,tennis,tennis matches,1200-2300,quarters and semifinals in various categories and courts,roland-garros stadium,porte d'auteuil (metro 10),12:00
August 1,table tennis,m/w singles quarters,"1000-1300,",,porte de versailles exhibition centre,porte de versailles (metro 12),10:00
August 1,table tennis,m/w singles quarters,"1500-1800,",,porte de versailles exhibition centre,porte de versailles (metro 12),15:00
August 1,table tennis,m/w singles quarters,2000-2300,,porte de versailles exhibition centre,porte de versailles (metro 12),20:00
August 1,surfing,reserve day,,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),:
August 1,swimming,swimming heats and finals,"1100-1300,",various swimming events and heats and finals,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),11:00
August 1,swimming,swimming heats and finals,2030-2230,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),20:30
August 1,sailing,"m/w skiff medal races, windsurfing, dinghy",1200-1900,,marseille marina,vieux-port - hôtel de ville (metro 1),12:00
August 1,archery,archery: m/w ind. eliminations,0930-1325,,la defense arena (tentative),puteaux (metro 1),09:30
August 1,archery,archery: m/w ind. eliminations,1530-1925,,la defense arena (tentative),puteaux (metro 1),15:30
August 1,shooting,"m 50m rifle 3 pos. finals, w 50m rifle 3 pos.",0930-1330,,la courneuve shooting range,la courneuve (metro 13),09:30
August 1,volleyball,preliminary round - women's,0900-2330,four rounds of preliminary matches for women’s teams,hall 6 exhibition centre paris-le bourget,le bourget (rer b),09:00
August 1,fencing,"w foil team through semis, placement matches",1000-1710,,grand palais éphémère,"franklin d. roosevelt (metro 9), if champs-élysées - clemenceau is closed",10:00
August 1,fencing,foil team medal finals - women's,1910-2200,,grand palais éphémère,"franklin d. roosevelt (metro 9), if champs-élysées - clemenceau is closed",19:10
August 1,golf,golf round 1 - men's,0900-1800,,golf national,guyancourt (rer c),09:00
August 1,beach volleyball,beach volleyball: m/w preliminary phase (4 matches),0900-1300,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),09:00
August 1,beach volleyball,beach volleyball: m/w preliminary phase (3 matches),1500-1800,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),15:00
August 1,beach volleyball,beach volleyball: m/w preliminary phase (3 matches),2000-2300,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),20:00
August 1,equestrian,jumping team qualifier,1100-1400,,château de versailles,versailles château - rive gauche (rer c),11:00
August 1,artistic gymnastics,artistic gymnastics: w ind. all-around final,1815-2025,,bercy arena,bercy (metro 6),18:15
August 1,basketball,basketball: w group phase (2 matches),1100-1515,,pierre mauroy stadium,lille,11:00
August 1,basketball,basketball: w group phase (1 match),1715-1900,,pierre mauroy stadium,lille,17:15
August 1,basketball,basketball: w group phase (1 match),2100-2245,,pierre mauroy stadium,lille,21:00
August 1,basketball 3x3,basketball 3x3: m/w pool round (4 matches),0900-1100,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),09:00
August 1,basketball 3x3,basketball 3x3: m/w pool round (4 matches),1230-1430,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),12:30
August 1,basketball 3x3,basketball 3x3: m/w pool round (4 matches),1800-2000,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),18:00
August 1,basketball 3x3,basketball 3x3: m/w pool round (4 matches),2130-2330,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),21:30
August 2,rowing,single sculls final - men's,0930-1250,f/e/d,vaires-sur-marne nautical stadium,vaires (transilien paris-est),09:30
August 2,rowing,single sculls final - women's,0930-1250,f/e/d,vaires-sur-marne nautical stadium,vaires (transilien paris-est),09:30
August 2,rowing,coxless pair final - men's,0930-1250,f/e/d,vaires-sur-marne nautical stadium,vaires (transilien paris-est),09:30
August 2,rowing,coxless pair final - women's,0930-1250,f/e/d,vaires-sur-marne nautical stadium,vaires (transilien paris-est),09:30
August 2,rowing,lightweight double final - men's,0930-1250,f/e/d,vaires-sur-marne nautical stadium,vaires (transilien paris-est),09:30
August 2,rowing,"lightweight double final b - women's (check for typo, could be ""a"" or ""finals"")",0930-1250,,vaires-sur-marne nautical stadium,vaires (transilien paris-est),09:30
August 2,rowing,coxless pair final - men's,0930-1250,f/e/d,vaires-sur-marne nautical stadium,vaires (transilien paris-est),09:30
August 2,rowing,coxless pair final - women's,0930-1250,f/e/d,vaires-sur-marne nautical stadium,vaires (transilien paris-est),09:30
August 2,rowing,lightweight double final - men's,0930-1250,medal final,vaires-sur-marne nautical stadium,vaires (transilien paris-est),09:30
August 2,judo,"w +78kg, m +100kg elim.",1000-1400,elimination rounds,two locations – check official documentation,palais royal-musée du louvre (metro 1/7),10:00
August 2,judo,"w +78kg, m +100kg medal",1600-1900,medal rounds,two locations – check official documentation,palais royal-musée du louvre (metro 1/7),16:00
August 2,hockey,pool stage - women's,1000-1500,2 matches,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),10:00
August 2,hockey,pool stage - men's,1030-1530,2 matches,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),10:30
August 2,hockey,pool stage - men's,1700-2200,2 matches,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),17:00
August 2,badminton,m/w doubles semis,0830-1300,,stade pierre de coubertin,porte de vincennes (metro 1),08:30
August 2,badminton,singles quarters - men's,1500-2230,,stade pierre de coubertin,porte de vincennes (metro 1),15:00
August 2,badminton,mixed doubles medal matches,1500-2230,,stade pierre de coubertin,porte de vincennes (metro 1),15:00
August 2,handball,preliminaries - men's,0900-1230,2 matches,stade pierre de coubertin,porte de vincennes (metro 1),09:00
August 2,handball,preliminaries - men's,1400-1730,2 matches,stade pierre de coubertin,porte de vincennes (metro 1),14:00
August 2,handball,preliminaries - men's,1900-2230,2 matches,stade pierre de coubertin,porte de vincennes (metro 1),19:00
August 2,athletics,decathlon 100m - men's,1005,,stade de france,stade de france - saint-denis (rer d),10:05
August 2,athletics,hammer throw qualification a - men's,1010,,stade de france,stade de france - saint-denis (rer d),10:10
August 2,athletics,high jump qualification - women's,1015,,stade de france,stade de france - saint-denis (rer d),10:15
August 2,athletics,100m preliminary round - women's,1035,,stade de france,stade de france - saint-denis (rer d),10:35
August 2,athletics,decathlon long jump - men's,1055,,stade de france,stade de france - saint-denis (rer d),10:55
August 2,athletics,1500m round 1 - men's,1105,,stade de france,stade de france - saint-denis (rer d),11:05
August 2,athletics,hammer throw qualification b - men's,1135,,stade de france,stade de france - saint-denis (rer d),11:35
August 2,athletics,100m round 1 - women's,1150,,stade de france,stade de france - saint-denis (rer d),11:50
August 2,athletics,decathlon shot put - men's,1215,,stade de france,stade de france - saint-denis (rer d),12:15
August 2,athletics,decathlon high jump - men's,1800,,stade de france,stade de france - saint-denis (rer d),18:00
August 2,athletics,5000m round 1 - women's,1810,,stade de france,stade de france - saint-denis (rer d),18:10
August 2,athletics,w triple jump qualification,1815,,stade de france,stade de france - saint-denis (rer d),18:15
August 2,athletics,discus throw qualification a - women's,1855,,stade de france,stade de france - saint-denis (rer d),18:55
August 2,athletics,mixed 4x400m relay round 1,1910,,stade de france,stade de france - saint-denis (rer d),19:10
August 2,athletics,800m round 1 - women's,1945,,stade de france,stade de france - saint-denis (rer d),19:45
August 2,athletics,shot put qualification - men's,2010,,stade de france,stade de france - saint-denis (rer d),20:10
August 2,athletics,discus throw qualification b - women's,2020,,stade de france,stade de france - saint-denis (rer d),20:20
August 2,athletics,decathlon 400m - men's,2050,,stade de france,stade de france - saint-denis (rer d),20:50
August 2,athletics,"10,000m final - men's ",2120,,stade de france,stade de france - saint-denis (rer d),21:20
August 2,diving,synchro 3m springboard final - men's,1100-1200,,stade aquatique,stade de france - saint-denis (rer d),11:00
August 2,water polo,preliminary round (2 matches) - women's,1400-1700,,stade aquatique,stade de france - saint-denis (rer d),14:00
August 2,water polo,preliminary round (2 matches) - women's,1830-2130,,stade aquatique,stade de france - saint-denis (rer d),18:30
August 2,bmx racing,m/w semis and finals,2000-2230,,saint-quentin-en-yvelines bmx stadium,saint-quentin-en-yvelines (rer c),20:00
August 2,boxing,w 57kg round of 32 or round of 16,1530-1810,,roland-garros stadium,porte d'auteuil (metro 10),15:30
August 2,boxing,"m 51kg, m 80kg, m +92kg quarters",1530-1810,,roland-garros stadium,porte d'auteuil (metro 10),15:30
August 2,boxing,w 57kg round of 32 or round of 16,2000-2240,,roland-garros stadium,porte d'auteuil (metro 10),20:00
August 2,boxing,"m 51kg, m 80kg, m +92kg quarters",2000-2240,,roland-garros stadium,porte d'auteuil (metro 10),20:00
August 2,tennis,"m singles semis, w singles bronze medal final",1200-1700,court philippe chartrier,roland-garros stadium,porte d'auteuil (metro 10),12:00
August 2,tennis,"m singles semis, mixed doubles gold medal final",1900-2330,court philippe chartrier,roland-garros stadium,porte d'auteuil (metro 10),19:00
August 2,tennis,m/mixed doubles bronze medal final,1200-1700,court suzanne lenglen,roland-garros stadium,porte d'auteuil (metro 10),12:00
August 2,table tennis,m/w singles semis,1000-1200,,porte de versailles exhibition centre,porte de versailles (metro 12),10:00
August 2,table tennis,m/w singles semis,1330-1530,,porte de versailles exhibition centre,porte de versailles (metro 12),13:30
August 2,surfing,reserve day,,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),:
August 2,swimming,"m 100m fly, w 200m im, w 800m free, mixed 4x100m medley relay heats",1100-1300,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),11:00
August 2,swimming,"m 50m free, w 200m back, m 200m im finals, m 100m fly, w 200m im semis",2030-2230,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),20:30
August 2,football,quarters (4 matches) - men's,1500-0000,,multiple locations - check official documentation,,15:00
August 2,sailing,"m/w windsurfing medal series, m/w/mixed dinghy",1200-1900,,marseille marina,vieux-port - hôtel de ville (metro 1),12:00
August 2,archery,mixed team eliminations,0930-1205,,la defense arena (tentative),puteaux (metro 1),09:30
August 2,archery,mixed team medal rounds,1415-1725,,la defense arena (tentative),puteaux (metro 1),14:15
August 2,shooting,25m pistol qualification - women's,0900-1400,,la courneuve shooting range,la courneuve (metro 13),09:00
August 2,shooting,50m rifle 3 pos. finals - women's,0930-1050,,la courneuve shooting range,la courneuve (metro 13),09:30
August 2,shooting,skeet qualification day 1 - men's,0900-1400,,la courneuve shooting range,la courneuve (metro 13),09:00
August 2,volleyball,preliminary round - men's,0900-1130,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),09:00
August 2,volleyball,preliminary round - men's,1300-1530,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),13:00
August 2,volleyball,preliminary round - men's,1700-1930,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),17:00
August 2,volleyball,preliminary round - men's,2100-2330,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),21:00
August 2,fencing,"m épée team through semis, placement matches",1200-1730,,grand palais éphémère,"franklin d. roosevelt (metro 9), if champs-élysées - clemenceau is closed",12:00
August 2,fencing,épée team medal finals - men's,1930-2140,,grand palais éphémère,"franklin d. roosevelt (metro 9), if champs-élysées - clemenceau is closed",19:30
August 2,golf,golf round 2 - men's,0900-1800,,golf national,guyancourt (rer c),09:00
August 2,beach volleyball,m/w preliminary phase (4 matches),0900-1300,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),09:00
August 2,beach volleyball,m/w preliminary phase (3 matches),1500-1800,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),15:00
August 2,beach volleyball,m/w preliminary phase (3 matches),2000-2300,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),20:00
August 2,equestrian,jumping team final,1400-1630,,château de versailles,versailles château - rive gauche (rer c),14:00
August 2,basketball,group phase (2 matches) - men's,1100-1515,,pierre mauroy stadium,lille,11:00
August 2,basketball,group phase (1 match) - men's,1715-1900,,pierre mauroy stadium,lille,17:15
August 2,basketball,group phase (1 match) - men's,2100-2245,,pierre mauroy stadium,lille,21:00
August 2,basketball 3x3,m/w pool round (4 matches),0900-1100,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),09:00
August 2,basketball 3x3,m/w pool round (4 matches),1230-1430,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),12:30
August 2,basketball 3x3,m/w pool round (4 matches),1730-1930,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),17:30
August 2,basketball 3x3,m/w pool round (4 matches),2100-2300,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),21:00
August 2,trampoline gymnastics,final - women's (specify sport if needed),1200-1430,,bercy arena,bercy (metro 6),12:00
August 2,trampoline gymnastics,final - men's,1800-2030,,bercy arena,bercy (metro 6),18:00
August 3,canoe slalom,m/w kayak cross single round 1 and repechage,1530-1915,,vaires-sur-marne nautical stadium,vaires (transilien paris-est),15:30
August 3,rowing,"w single sculls, m single sculls finals c/b and medal final, w eight, m eight medal final",0930-1140,,vaires-sur-marne nautical stadium,vaires (transilien paris-est),09:30
August 3,judo,"mixed team elimination rounds, repechage, semis",0800-1400,,two locations – check official documentation,palais royal-musée du louvre (metro 1/7),08:00
August 3,judo,mixed team medal rounds,1600-1900,,two locations – check official documentation,palais royal-musée du louvre (metro 1/7),16:00
August 3,hockey,pool stage (2 matches) - women's,1000-1500,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),10:00
August 3,hockey,pool stage (2 matches) - women's,1030-1530,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),10:30
August 3,hockey,pool stage (2 matches) - women's,1700-2200,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),17:00
August 3,handball,preliminaries (2 matches) - women's,0900-1230,,stade pierre de coubertin,porte de vincennes (metro 1),09:00
August 3,handball,preliminaries (2 matches) - women's,1400-1730,,stade pierre de coubertin,porte de vincennes (metro 1),14:00
August 3,handball,preliminaries (2 matches) - women's,1900-2230,,stade pierre de coubertin,porte de vincennes (metro 1),19:00
August 3,badminton,w singles quarters; w doubles medal matches,0830-1300,,stade pierre de coubertin,porte de vincennes (metro 1),08:30
August 3,badminton,w singles quarters; w doubles medal matches,1500-1730,,stade pierre de coubertin,porte de vincennes (metro 1),15:00
August 3,athletics,decathlon 110m hurdles - men's,1005,,stade de france,stade de france - saint-denis (rer d),10:05
August 3,athletics,pole vault qualification - men's,1010,,stade de france,stade de france - saint-denis (rer d),10:10
August 3,athletics,100m preliminary round - men's,1035,,stade de france,stade de france - saint-denis (rer d),10:35
August 3,athletics,decathlon discus throw a - men's,1055,,stade de france,stade de france - saint-denis (rer d),10:55
August 3,athletics,800m repechage - women's,1110,,stade de france,stade de france - saint-denis (rer d),11:10
August 3,athletics,100m round 1 - men's,1145,,stade de france,stade de france - saint-denis (rer d),11:45
August 3,athletics,decathlon discus throw b - men's,1200,,stade de france,stade de france - saint-denis (rer d),12:00
August 3,athletics,decathlon pole vault - men's,1340,,stade de france,stade de france - saint-denis (rer d),13:40
August 3,athletics,decathlon javelin throw a - men's,1910,,stade de france,stade de france - saint-denis (rer d),19:10
August 3,athletics,1500m repechage - men's,1915,,stade de france,stade de france - saint-denis (rer d),19:15
August 3,athletics,shot put final - men's,1935,,stade de france,stade de france - saint-denis (rer d),19:35
August 3,athletics,100m semis - women's,1950,,stade de france,stade de france - saint-denis (rer d),19:50
August 3,athletics,decathlon javelin throw b - men's,2010,,stade de france,stade de france - saint-denis (rer d),20:10
August 3,athletics,triple jump final - women's,2020,,stade de france,stade de france - saint-denis (rer d),20:20
August 3,athletics,mixed 4x400m relay final,2055,,stade de france,stade de france - saint-denis (rer d),20:55
August 3,athletics,100m final - women's,2120,,stade de france,stade de france - saint-denis (rer d),21:20
August 3,athletics,decathlon 1500m final - men's,2145,,stade de france,stade de france - saint-denis (rer d),21:45
August 3,boxing,"w 50kg, w 66kg, m 57kg, m 71kg quarters, w 60kg semis",1530-1755,,roland-garros stadium,porte d'auteuil (metro 10),15:30
August 3,boxing,"w 50kg, w 66kg, m 57kg, m 71kg quarters, w 60kg semis",2000-2225,,roland-garros stadium,porte d'auteuil (metro 10),20:00
August 3,football,quarters (4 matches) - women's,1500-0000,,multiple locations - check official documentation,,15:00
August 3,sailing,"m/w/mixed dinghy, mixed multihull",1200-1900,,marseille marina,vieux-port - hôtel de ville (metro 1),12:00
August 3,archery,individual eliminations; individual medal rounds - women's,0930-1115,,la defense arena (tentative),puteaux (metro 1),09:30
August 3,archery,individual eliminations; individual medal rounds - women's,1300-1520,,la defense arena (tentative),puteaux (metro 1),13:00
August 3,shooting,25m pistol finals - women's,0930-1050,,,,09:30
August 3,shooting,skeet qualification day 1 - women's,0900-1705,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),09:00
August 3,swimming,"w 50m free, m 1500m free, m 4x100m medley relay, w 4x100m medley relay heats",1100-1300,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),11:00
August 3,table tennis,singles medal finals - women's,1330-1600,,la courneuve shooting range,la courneuve (metro 13),13:30
August 3,volleyball,preliminary round - women's,0900-1130,,château de versailles,versailles château - rive gauche (rer c),09:00
August 3,volleyball,preliminary round - women's,1300-1530,,château de versailles,versailles château - rive gauche (rer c),13:00
August 3,shooting,skeet qualification day 2 and finals - men's,0900-1705,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),09:00
August 3,swimming,"m 100m fly final, w 50m free semis, w 200m im, w 800m free, mixed 4x100m medley relay finals",2030-2230,,grand palais éphémère,"champs-élysées - clemenceau (metro 1, closed during olympics)",20:30
August 3,tennis,"m singles bronze medal final, w singles, m doubles gold medal finals",1200-1900,court philippe chartrier,grand palais éphémère,"champs-élysées - clemenceau (metro 1, closed during olympics)",12:00
August 3,volleyball,preliminary round - men's,1700-1930,,château de versailles,versailles château - rive gauche (rer c),17:00
August 3,volleyball,preliminary round - men's,2100-2330,,château de versailles,versailles château - rive gauche (rer c),21:00
August 3,water polo,preliminary round (2 matches) - men's,1030-1330,,château de versailles,versailles château - rive gauche (rer c),10:30
August 3,water polo,preliminary round (2 matches) - men's,1500-1800,,château de versailles,versailles château - rive gauche (rer c),15:00
August 3,water polo,preliminary round (2 matches) - men's,1930-2230,,château de versailles,versailles château - rive gauche (rer c),19:30
August 3,fencing,"sabre team through semis, placement matches - women's",1130-1700,,grand palais éphémère,"franklin d. roosevelt (metro 9), if champs-élysées - clemenceau is closed",11:30
August 3,fencing,sabre team medal finals - women's,1900-2110,,grand palais éphémère,"franklin d. roosevelt (metro 9), if champs-élysées - clemenceau is closed",19:00
August 3,golf,golf round 3 - men's,0900-1800,,golf national,guyancourt (rer c),09:00
August 3,beach volleyball,m/w preliminary phase (4 matches),0900-1300,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),09:00
August 3,beach volleyball,m/w preliminary phase or lucky loser round (3 matches),1600-1900,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),16:00
August 3,beach volleyball,m/w lucky loser round (3 matches),2100-0000,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),21:00
August 3,equestrian,dressage grand prix special team final,1000-1630,,château de versailles,versailles château - rive gauche (rer c),10:00
August 3,road cycling,road race - men's,1100-1815,,château de versailles,versailles château - rive gauche (rer c),11:00
August 3,reserve day,surfing,,,château de versailles,versailles château - rive gauche (rer c),:
August 3,artistic gymnastics,"m floor, w vault, m pommel horse finals",1530-1800,,bercy arena,bercy (metro 6),15:30
August 3,basketball,m/w group phase (2 matches),1100-1515,,pierre mauroy stadium,lille,11:00
August 3,basketball,m/w group phase (1 match),1715-1900,,pierre mauroy stadium,lille,17:15
August 3,basketball,m/w group phase (1 match),2100-2245,,pierre mauroy stadium,lille,21:00
August 3,basketball 3x3,pool round (4 matches) - women's,1730-1930,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),17:30
August 3,basketball 3x3,play-in round (2 matches) - women's,2130-2230,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),21:30
August 4,canoe slalom,m/w kayak cross single heats,1530-1725,,vaires-sur-marne nautical stadium,vaires (transilien paris-est),15:30
August 4,hockey,m quarters,1000-1500,2 matches,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),10:00
August 4,hockey,m quarters,1730-2230,2 matches,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),17:30
August 4,badminton,m/w singles semis,0830-1300,,stade pierre de coubertin,porte de vincennes (metro 1),08:30
